X,Y,OBJECTID,RTE,RTE_SFX,DIST,CNTY,PM_PFX,POSTMILE,PM_SFX,LEG,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT,TRK_2_AXLE,TRK_2_AXLE_PCT,TRK_3_AXLE,TRK_3_AXLE_PCT,TRK_4_AXLE,TRK_4_AXLE_PCT,TRK_5_AXLE,TRK_5_AXLE_PCT,EAL,EST_VER_YEAR,EST_VER_CODE
-118.011476244,33.8746591250001,546,5,,7,LA,,0,,A,ORANGE/LOS ANGELES COUNTY LINE,160000,12960,8.1,6297,48.59,966,7.45,632,4.88,5065,39.08,"2,150",11,E
-118.096609165,33.9412868250001,547,5,,7,LA,,6.848,,B,"SANTA FE SPRINGS, JCT. RTE. 605, SAN GABRIEL RIVER FREEWAY",180000,13050,7.25,6341,48.59,972,7.45,637,4.88,5100,39.08,"2,164",11,E
-118.096683897,33.941139422,548,5,,7,LA,,6.848,,B,"SANTA FE SPRINGS, JCT. RTE. 605, SAN GABRIEL RIVER FREEWAY",180000,13050,7.25,6341,48.59,972,7.45,637,4.88,5100,39.08,"2,164",11,E
-118.096609165,33.9412868250001,549,5,,7,LA,,6.848,,A,"SANTA FE SPRINGS, JCT. RTE. 605, SAN GABRIEL RIVER FREEWAY",214000,14295,6.68,6550,45.82,1718,12.02,516,3.61,5511,38.55,"2,364",11,E
-118.096683897,33.941139422,550,5,,7,LA,,6.848,,A,"SANTA FE SPRINGS, JCT. RTE. 605, SAN GABRIEL RIVER FREEWAY",214000,14295,6.68,6550,45.82,1718,12.02,516,3.61,5511,38.55,"2,364",11,E
-118.137329777,33.987485388,551,5,,7,LA,,10.876,,A,"COMMERCE, GARFIELD AVENUE INTERCHANGE",205000,16749,8.17,7656,45.71,1400,8.36,849,5.07,6844,40.86,"2,883",11,E
-118.137448486,33.9873835160001,552,5,,7,LA,,10.876,,A,"COMMERCE, GARFIELD AVENUE INTERCHANGE",205000,16749,8.17,7656,45.71,1400,8.36,849,5.07,6844,40.86,"2,883",11,E
-118.172587264,34.016354762,553,5,,7,LA,,13.784,,B,"COMMERCE, JCT. RTE. 710, LONG BEACH FREEWAY",213000,16784,7.88,7672,45.71,1403,8.36,851,5.07,6858,40.86,"2,889",11,E
-118.173162966,34.0160388840001,554,5,,7,LA,,13.784,,B,"COMMERCE, JCT. RTE. 710, LONG BEACH FREEWAY",213000,16784,7.88,7672,45.71,1403,8.36,851,5.07,6858,40.86,"2,889",11,E
-118.172587264,34.016354762,555,5,,7,LA,,13.784,,A,"COMMERCE, JCT. RTE. 710, LONG BEACH FREEWAY",229000,14656,6.4,6172,42.11,1671,11.4,421,2.87,6393,43.62,"2,637",12,E
-118.173162966,34.0160388840001,556,5,,7,LA,,13.784,,A,"COMMERCE, JCT. RTE. 710, LONG BEACH FREEWAY",229000,14656,6.4,6172,42.11,1671,11.4,421,2.87,6393,43.62,"2,637",12,E
-118.21590463,34.0298351600001,557,5,,7,LA,,16.474,,B,"LOS ANGELES, JCT. RTE. 60, POMONA FREEWAY",253000,19430,7.68,10479,53.93,2034,10.47,560,2.88,6357,32.72,"2,829",15,V
-118.21607471,34.029759749,558,5,,7,LA,,16.474,,B,"LOS ANGELES, JCT. RTE. 60, POMONA FREEWAY",253000,19430,7.68,10479,53.93,2034,10.47,560,2.88,6357,32.72,"2,829",15,V
-118.21590463,34.0298351600001,559,5,,7,LA,,16.474,,A,"LOS ANGELES, JCT. RTE. 60, POMONA FREEWAY",219000,14673,6.7,5408,36.86,1554,10.59,424,2.89,7287,49.66,"2,909",12,E
-118.21607471,34.029759749,560,5,,7,LA,,16.474,,A,"LOS ANGELES, JCT. RTE. 60, POMONA FREEWAY",219000,14673,6.7,5408,36.86,1554,10.59,424,2.89,7287,49.66,"2,909",12,E
-118.214099494,34.055295523,561,5,,7,LA,,18.452,,B,"LOS ANGELES, JCT. RTE. 10, SAN BERNARDINO FREEWAY",214000,14509,6.78,4588,31.62,1419,9.78,422,2.91,8082,55.7,"3,141",12,E
-118.214265981,34.0552816090001,562,5,,7,LA,,18.452,,B,"LOS ANGELES, JCT. RTE. 10, SAN BERNARDINO FREEWAY",214000,14509,6.78,4588,31.62,1419,9.78,422,2.91,8082,55.7,"3,141",12,E
-118.214099494,34.055295523,563,5,,7,LA,,18.452,,A,"LOS ANGELES, JCT. RTE. 10, SAN BERNARDINO FREEWAY",219000,13753,6.28,3627,26.37,1234,8.97,402,2.92,8491,61.74,"3,229",12,E
-118.214265981,34.0552816090001,564,5,,7,LA,,18.452,,A,"LOS ANGELES, JCT. RTE. 10, SAN BERNARDINO FREEWAY",219000,13753,6.28,3627,26.37,1234,8.97,402,2.92,8491,61.74,"3,229",12,E
-118.223750645,34.081848602,565,5,,7,LA,,20.444,,B,"LOS ANGELES, JCT. RTE. 110, PASADENA FREEWAY",206000,13493,6.55,3558,26.37,1210,8.97,394,2.92,8331,61.74,"3,168",12,E
-118.223866626,34.0817702300001,566,5,,7,LA,,20.444,,B,"LOS ANGELES, JCT. RTE. 110, PASADENA FREEWAY",206000,13493,6.55,3558,26.37,1210,8.97,394,2.92,8331,61.74,"3,168",12,E
-118.223750645,34.081848602,567,5,,7,LA,,20.444,,A,"LOS ANGELES, JCT. RTE. 110, PASADENA FREEWAY",265000,13277,5.01,3501,26.37,1191,8.97,388,2.92,8197,61.74,"3,117",12,E
-118.223866626,34.0817702300001,568,5,,7,LA,,20.444,,A,"LOS ANGELES, JCT. RTE. 110, PASADENA FREEWAY",265000,13277,5.01,3501,26.37,1191,8.97,388,2.92,8197,61.74,"3,117",12,E
